region,maker,model,national,local,convNational,convLocal
서울특별시,BMW,MINI Aceman E,4000000,1200000,800000,240000
서울특별시,BMW,MINI Aceman SE,4000000,1200000,800000,240000
서울특별시,BMW,MINI Cooper SE,3960000,1180000,790000,240000
서울특별시,BMW,MINI Countryman E,2170000,650000,430000,130000
서울특별시,BMW,MINI Countryman SE ALL4,2030000,600000,410000,120000
서울특별시,BMW,MINI JCW Aceman E,1970000,590000,390000,120000
서울특별시,BMW,MINI JCW E,1910000,570000,380000,110000
서울특별시,BMW,i4 M60 LCI (71HD),2330000,690000,470000,140000
서울특별시,BMW,i4 eDrive 40 LCI(21HD),2440000,730000,490000,150000
서울특별시,BMW,i4 eDrive 40 LCI(61HD),2560000,760000,510000,150000
서울특별시,BMW,i5 eDrive 40,2620000,780000,520000,160000
서울특별시,BMW,iX1 eDrive20,2120000,630000,420000,130000
서울특별시,BMW,iX1 eDrive20(11HM),2350000,700000,470000,140000
서울특별시,BMW,iX1 xDrive30,1920000,570000,380000,110000
서울특별시,BMW,iX2 eDrive20,2140000,640000,430000,130000
서울특별시,BMW,iX2 eDrive20(71GN),2390000,710000,480000,140000
서울특별시,BMW,iX3 50 xDrive,2750000,820000,550000,170000
서울특별시,기아,EV3 GT,2480000,740000,500000,150000
서울특별시,기아,EV3 롱레인지 2WD 17인치,5550000,1660000,1000000,300000
서울특별시,기아,EV3 롱레인지 2WD 19인치,5550000,1660000,1000000,300000
서울특별시,기아,EV3 롱레인지 4WD 19인치,5390000,1610000,1000000,300000
서울특별시,기아,EV3 스탠다드 2WD,4690000,1400000,940000,280000
서울특별시,기아,EV4 GT,2550000,760000,510000,150000
서울특별시,기아,EV4 롱레인지 2WD 17인치,5550000,1660000,1000000,300000
서울특별시,기아,EV4 롱레인지 2WD 19인치,5550000,1660000,1000000,300000
서울특별시,기아,EV4 롱레인지 4WD 19인치,5540000,1660000,1000000,300000
서울특별시,기아,EV4 롱레인지 GTL 2WD 19인치,5550000,1660000,1000000,300000
서울특별시,기아,EV4 스탠다드 2WD 17인치,5120000,1530000,1000000,300000
서울특별시,기아,EV4 스탠다드 2WD 19인치,4810000,1440000,960000,290000
서울특별시,기아,EV5 GT,2320000,690000,460000,140000
서울특별시,기아,EV5 롱레인지 2WD,5520000,1650000,1000000,300000
서울특별시,기아,EV5 롱레인지 4WD 18인치,4990000,1490000,1000000,300000
서울특별시,기아,EV5 롱레인지 4WD 19인치,4930000,1470000,990000,300000
서울특별시,기아,EV9 GT,2450000,730000,490000,150000
서울특별시,기아,EV9 롱레인지 2WD 19인치,2700000,810000,540000,160000
서울특별시,기아,EV9 롱레인지 2WD 20인치,2680000,800000,540000,160000
서울특별시,기아,EV9 롱레인지 4WD 19인치,2540000,760000,510000,150000
서울특별시,기아,EV9 롱레인지 4WD 21인치,2600000,780000,520000,160000
서울특별시,기아,EV9 롱레인지 GTL 4WD 21인치,2520000,750000,500000,150000
서울특별시,기아,EV9 스탠다드,2370000,710000,470000,140000
서울특별시,기아,PV5 패신저 5인승 롱레인지,4580000,1370000,920000,280000
서울특별시,기아,Pv5 WAV(비용 미지원),6480000,1940000,1000000,300000
서울특별시,기아,Pv5 WAV(비용 지원),4480000,1340000,900000,270000
서울특별시,기아,(단종)The all-new Kia Niro EV,4890000,1460000,980000,290000
서울특별시,기아,더뉴EV6 롱레인지 2WD 19인치,5700000,1710000,1000000,300000
서울특별시,기아,더뉴EV6 롱레인지 2WD 20인치,5590000,1670000,1000000,300000
서울특별시,기아,더뉴EV6 롱레인지 4WD 19인치,5610000,1680000,1000000,300000
서울특별시,기아,더뉴EV6 롱레인지 4WD 20인치,5320000,1590000,1000000,300000
